path,pv
/4220,11852
/4180,2061
/4485,1437
/4451,1279
/4268,1202
/4282,925
/4289,911
/4315,755
/4429,702
/4270,697
/4269,665
/4272,663
/4314,646
/4524,637
/4244,632
/4299,632
/4308,628
/4459,615
/4309,615
/4322,606
/4312,601
/4321,597
/4192,588
/4493,587
/4483,576
/4211,572
/4302,572
/4283,568
/4306,557
/4293,554
/4277,530
/4329,530
/4184,527
/4267,527
/4291,519
/4318,515
/4288,501
/4495,499
/4512,499
/4470,495
/4294,493
/4287,490
/4182,488
/4331,487
/4298,487
/4525,486
/4280,484
/4303,481
/4311,481
/4436,480
/4285,476
/4304,475
/4271,471
/4183,470
/4281,468
/4326,463
/4497,461
/4478,455
/4290,454
/4276,445
/4434,434
/4200,431
/4307,430
/4441,429
/4273,427
/4278,426
/4295,426
/4265,425
/4279,424
/4275,424
/4492,419
/4427,418
/4425,418
/4463,416
/4328,414
/4316,410
/4464,409
/4440,409
/4266,404
/4515,404
/4431,402
/4444,401
/4468,401
/4342,396
/4531,393
/4327,391
/4448,390
/4476,389
/4193,388
/4433,388
/4528,382
/4260,379
/4536,378
/4313,377
/4443,373
/4320,373
/4310,372
/4258,371
/4284,370
/4519,363
/4526,363
/4292,361
/4428,359
/4301,358
/4461,354
/4229,351
/4458,350
/4426,349
/4423,349
/4447,346
/4437,346
/4264,345
/4319,345
/4332,340
/4219,339
/4300,339
/4505,338
/4325,337
/4223,336
/4499,332
/4527,332
/4261,331
/4225,331
/4439,330
/4212,329
/4486,329
/4455,329
/4500,327
/4207,323
/4216,322
/4296,320
/4513,320
/4469,318
/4435,318
/4190,317
/4516,316
/4286,313
/4199,304
/4506,303
/4432,302
/4445,300
/4454,299
/4246,297
/4242,296
/4305,296
/4262,294
/4386,293
/4456,293
/4218,290
/4487,290
/4236,289
/4479,288
/4186,287
/4438,287
/4480,287
/4253,286
/4323,286
/4424,286
/4263,284
/4410,284
/4504,284
/4537,283
/4491,282
/4457,282
/4430,281
/4481,279
/4324,278
/4206,275
/4508,274
/4255,273
/4442,272
/4446,272
/4502,271
/4178,270
/4532,270
/4414,268
/4422,267
/4197,265
/4181,264
/4247,264
/4230,262
/4477,262
/4222,261
/4514,261
/4257,260
/4330,260
/4474,260
/4510,260
/4274,259
/4259,259
/4462,259
/4453,259
/4465,258
/4466,255
/4248,253
/4195,252
/4482,250
/4245,249
/4317,249
/4501,249
/4471,248
/4467,248
/4522,248
/4249,247
/4475,246
/4518,245
/4243,243
/4449,243
/4254,241
/4498,241
/4198,240
/4375,238
/4420,237
/4460,236
/4231,235
/4201,235
/4509,233
/4179,232
/4204,232
/4394,232
/4484,231
/4234,230
/4490,230
/4213,229
/4530,228
/4521,226
/4517,226
/4354,224
/4333,224
/4241,223
/4233,220
/4385,220
/4419,219
/4238,218
/4224,218
/4203,217
/4412,216
/4221,215
/4239,214
/4472,214
/4335,213
/4401,211
/4520,210
/4421,209
/4185,208
/4189,207
/4187,207
/4494,206
/4191,205
/4215,203
/4217,203
/4256,202
/4188,201
/4417,201
/4196,200
/4407,200
/4488,199
/4209,198
/4496,198
/4232,197
/4352,197
/4202,196
/4377,196
/4511,196
/4226,195
/4503,195
/4473,194
/4205,192
/4393,191
/4452,189
/4371,188
/4384,187
/4297,184
/4411,183
/4359,183
/4366,183
/4413,183
/4252,182
/4415,181
/4392,180
/4534,180
/4177,179
/4409,179
/4381,179
/4489,178
/4210,177
/4339,174
/4336,174
/4529,172
/4391,169
/4235,168
/4418,168
/4208,166
/4376,166
/4373,165
/4397,164
/4533,164
/4251,163
/4228,161
/4368,161
/4194,158
/4507,156
/4227,153
/4403,153
/4358,153
/4250,152
/4367,152
/4237,151
/4350,150
/4405,150
/4214,149
/4382,149
/4400,148
/4408,145
/4372,144
/4388,143
/4365,142
/4535,142
/4390,138
/4380,137
/4357,137
/4416,135
/4338,135
/4356,135
/4396,135
/4450,135
/4378,134
/4240,133
/4341,132
/4404,131
/4340,129
/4348,127
/4379,127
/4369,126
/4402,122
/4383,121
/4364,119
/4539,119
/4345,118
/4349,118
/4337,117
/4374,116
/4347,115
/4343,112
/4370,111
/4346,111
/4395,110
/4389,109
/4406,109
/4363,108
/4334,106
/4353,105
/4351,103
/4399,102
/4538,98
/4344,95
/4398,95
/4523,94
/4387,93
/4355,88
/4360,78
/4361,73
/4362,72
/4540,72
/4541,48
